"","e0.var","var_of_var_e0","se_of_var_e0"
"AL",0.00620472483026312,1.28033712040354e-06,0.00113151982766699
"AK",0.0438951251782965,7.24232100917888e-05,0.00851018272963565
"AZ",0.00677593427158213,1.49039688721454e-06,0.00122081812208639
"AR",0.0104630282563945,3.82936982160178e-06,0.00195687756939513
"CA",0.000793014477533617,2.07546718421431e-08,0.000144064818197029
"CO",0.0067511977346314,1.41097518972055e-06,0.00118784476667642
"CT",0.00693304826637265,1.65645342694062e-06,0.00128703279948128
"DE",0.036154423444935,3.97196492424889e-05,0.00630235267519114
"FL",0.00198240479589313,1.43036395356761e-07,0.000378201527438429
"GA",0.00398586460331188,4.93860224841823e-07,0.000702751894228556
"HI",0.0212837128910271,1.5263243126749e-05,0.0039068200786252
"ID",0.0234076874265342,1.82237228321011e-05,0.00426892525492086
"IL",0.00209109613894597,1.48706868772301e-07,0.000385625295814864
"IN",0.0040643765462456,5.53245275639554e-07,0.000743804595064829
"IA",0.00764196788177644,2.11325431620433e-06,0.00145370365487755
"KS",0.00901234059376485,2.77221256680667e-06,0.00166499626630412
"KY",0.00604909175458266,1.21030641338227e-06,0.0011001392699937
"LA",0.00567337113781569,1.14529051721839e-06,0.00107018246912309
"ME",0.0170116830325402,9.17726831187475e-06,0.00302940065225364
"MD",0.00500932729058137,8.0814345797548e-07,0.00089896799607966
"MA",0.00351702706083627,4.04338301139e-07,0.000635876010822078
"MI",0.00252991809365642,2.13515804595556e-07,0.000462077704066704
"MN",0.00478120227191108,7.51081183523914e-07,0.000866649400578985
"MS",0.00972672169056441,3.17452035854787e-06,0.00178171837240005
"MO",0.00453669767769942,7.19082267743225e-07,0.00084798718607254
"MT",0.0292930802320243,2.83069230272732e-05,0.00532042507956584
"NE",0.0134724416858222,6.35379030316488e-06,0.00252067258944213
"NV",0.020634437817502,1.45645682341085e-05,0.00381635536004033
"NH",0.0188503045736304,1.23507058863896e-05,0.00351435710854626
"NJ",0.00301837164638775,2.85914554660745e-07,0.000534709785454451
"NM",0.0168028259951206,9.17681642929636e-06,0.00302932606850044
"NY",0.00134996401906058,6.03310127505807e-08,0.000245623721880808
"NC",0.00368650014350752,4.71571528885996e-07,0.000686710658782865
"ND",0.0334447363043215,3.74934859845311e-05,0.00612319246672282
"OH",0.00196938583390403,1.29314495977815e-07,0.000359603248007878
"OK",0.00715212376575998,1.9038707061343e-06,0.00137980821353342
"OR",0.00822511339051073,2.3557533123981e-06,0.0015348463481398
"PA",0.00184517538048645,1.12558140606525e-07,0.000335496856328826
"RI",0.0221097089801735,1.58115742809257e-05,0.00397637702952394
"SC",0.00738531869588689,1.74916039198452e-06,0.00132255827545879
"SD",0.0344967014496738,3.88040298327964e-05,0.00622928806789318
"TN",0.00478179073361067,7.51795824460951e-07,0.000867061603613579
"TX",0.00137005475860087,6.5520498160732e-08,0.000255969721179541
"UT",0.0124788979872239,5.68302578011822e-06,0.00238390976761249
"VT",0.0378161031176297,5.15819388431924e-05,0.00718205672792915
"VA",0.00376532139821389,4.33187244468003e-07,0.000658169616791905
"WA",0.00467426550016451,6.70216445473858e-07,0.000818667481627222
"WV",0.0126874939267548,5.34521689756009e-06,0.00231197251228471
"WI",0.00443496719302329,5.95234381328398e-07,0.000771514342918132
"WY",0.0502002498349414,8.49307160728598e-05,0.00921578624279339
